Unnamed: 0,AMBROSIA,tavg,wspd,pres,BG,VS,KS,KG,NIS,PO,SU,year,month,day
6302,0.0,5.0,9.4,1025.5,0,0,0,1,0,0,0,2019,2,4
6303,0.0,3.0,4.4,1027.5,0,0,0,1,0,0,0,2019,2,5
6304,0.0,3.2,8.0,1026.6,0,0,0,1,0,0,0,2019,2,6
6305,0.0,3.0,5.5,1025.1,0,0,0,1,0,0,0,2019,2,7
6306,0.0,3.9,5.5,1020.1,0,0,0,1,0,0,0,2019,2,10
6307,0.0,4.8,9.6,1009.5,0,0,0,1,0,0,0,2019,2,11
6308,0.0,2.5,20.3,1020.1,0,0,0,1,0,0,0,2019,2,12
6309,0.0,3.9,3.9,1030.2,0,0,0,1,0,0,0,2019,2,17
6310,0.0,5.0,3.9,1026.1,0,0,0,1,0,0,0,2019,2,18
6311,0.0,7.1,5.9,1021.6,0,0,0,1,0,0,0,2019,2,19
6312,0.0,6.6,6.6,1023.2,0,0,0,1,0,0,0,2019,2,20
6313,0.0,5.8,7.7,1027.8,0,0,0,1,0,0,0,2019,2,21
6314,0.0,5.5,12.9,1022.4,0,0,0,1,0,0,0,2019,2,22
6315,0.0,-3.1,9.4,1036.2,0,0,0,1,0,0,0,2019,2,23
6316,0.0,-2.9,5.8,1039.5,0,0,0,1,0,0,0,2019,2,24
6317,0.0,-0.2,4.6,1036.1,0,0,0,1,0,0,0,2019,2,25
6318,0.0,3.8,9.3,1026.7,0,0,0,1,0,0,0,2019,2,26
6319,0.0,6.7,13.3,1023.4,0,0,0,1,0,0,0,2019,2,27
6320,0.0,8.7,10.2,1017.3,0,0,0,1,0,0,0,2019,2,28
6321,0.0,12.7,11.6,1011.7,0,0,0,1,0,0,0,2019,3,1
6322,0.0,8.7,11.5,1015.1,0,0,0,1,0,0,0,2019,3,2
6323,0.0,6.7,5.5,1020.2,0,0,0,1,0,0,0,2019,3,3
6324,0.0,10.2,8.7,1012.9,0,0,0,1,0,0,0,2019,3,4
6325,0.0,9.8,10.1,1013.3,0,0,0,1,0,0,0,2019,3,5
6326,0.0,9.9,8.2,1019.3,0,0,0,1,0,0,0,2019,3,6
6327,0.0,13.9,9.8,1017.1,0,0,0,1,0,0,0,2019,3,7
6328,0.0,16.2,6.5,1017.4,0,0,0,1,0,0,0,2019,3,8
6329,0.0,11.0,7.9,1021.7,0,0,0,1,0,0,0,2019,3,9
6330,0.0,15.5,11.5,1016.7,0,0,0,1,0,0,0,2019,3,10
6331,0.0,8.7,14.0,1015.5,0,0,0,1,0,0,0,2019,3,11
