Unnamed: 0,AMBROSIA,tavg,wspd,pres,BG,VS,KS,KG,NIS,PO,SU,year,month,day
6827,0.0,5.8,19.8,1023.7,0,0,0,0,1,0,0,2019,2,4
6828,0.0,6.2,10.2,1009.9,0,0,0,0,1,0,0,2019,2,11
6829,0.0,2.1,14.6,1018.8,0,0,0,0,1,0,0,2019,2,12
6830,0.0,1.3,19.8,1031.8,0,0,0,0,1,0,0,2019,2,13
6831,0.0,1.0,5.9,1033.7,0,0,0,0,1,0,0,2019,2,14
6832,0.0,4.7,11.6,1030.8,0,0,0,0,1,0,0,2019,2,15
6833,0.0,3.7,8.3,1032.6,0,0,0,0,1,0,0,2019,2,16
6834,0.0,4.1,4.6,1030.1,0,0,0,0,1,0,0,2019,2,17
6835,0.0,4.7,5.4,1026.6,0,0,0,0,1,0,0,2019,2,18
6836,0.0,6.7,4.3,1022.3,0,0,0,0,1,0,0,2019,2,19
6837,0.0,6.3,7.3,1023.0,0,0,0,0,1,0,0,2019,2,20
6838,0.0,6.2,9.1,1027.2,0,0,0,0,1,0,0,2019,2,21
6839,0.0,3.2,10.0,1021.7,0,0,0,0,1,0,0,2019,2,22
6840,0.0,-3.0,19.4,1034.1,0,0,0,0,1,0,0,2019,2,23
6841,0.0,-2.8,13.1,1038.4,0,0,0,0,1,0,0,2019,2,24
6842,0.0,-0.1,8.9,1035.3,0,0,0,0,1,0,0,2019,2,25
6843,0.0,5.1,14.4,1022.1,0,0,0,0,1,0,0,2019,2,27
6844,0.0,5.4,5.6,1018.3,0,0,0,0,1,0,0,2019,2,28
6845,0.0,8.6,6.6,1012.1,0,0,0,0,1,0,0,2019,3,1
6846,0.0,7.7,11.8,1014.3,0,0,0,0,1,0,0,2019,3,2
6847,0.0,6.8,6.5,1020.2,0,0,0,0,1,0,0,2019,3,3
6848,0.0,8.9,7.2,1015.2,0,0,0,0,1,0,0,2019,3,4
6849,0.0,9.9,11.9,1013.7,0,0,0,0,1,0,0,2019,3,5
6850,0.0,10.3,5.6,1019.8,0,0,0,0,1,0,0,2019,3,6
