Unnamed: 0,AMBROSIA,tavg,wspd,pres,BG,VS,KS,KG,NIS,PO,SU,year,month,day
10989,0.0,-0.8,9.9,1003.5,0,0,0,0,0,0,1,2021,2,1
10990,0.0,6.6,16.3,1013.1,0,0,0,0,0,0,1,2021,2,3
10991,0.0,9.5,16.6,1014.0,0,0,0,0,0,0,1,2021,2,4
10992,0.0,7.0,6.6,1017.2,0,0,0,0,0,0,1,2021,2,5
10993,0.0,4.9,7.1,1013.3,0,0,0,0,0,0,1,2021,2,6
10994,0.0,7.5,14.3,1004.9,0,0,0,0,0,0,1,2021,2,7
10995,0.0,5.3,24.8,996.5,0,0,0,0,0,0,1,2021,2,8
10996,0.0,5.7,10.4,1002.5,0,0,0,0,0,0,1,2021,2,9
10997,0.0,4.3,11.6,1004.2,0,0,0,0,0,0,1,2021,2,10
10998,0.0,-1.1,28.8,1012.6,0,0,0,0,0,0,1,2021,2,11
10999,0.0,-5.9,16.5,1028.8,0,0,0,0,0,0,1,2021,2,12
11000,0.0,-4.6,8.7,1034.3,0,0,0,0,0,0,1,2021,2,13
11001,0.0,-2.5,13.0,1035.7,0,0,0,0,0,0,1,2021,2,14
11002,0.0,-2.4,10.0,1035.5,0,0,0,0,0,0,1,2021,2,15
11003,0.0,-1.1,10.2,1028.8,0,0,0,0,0,0,1,2021,2,16
11004,0.0,2.1,12.3,1020.1,0,0,0,0,0,0,1,2021,2,17
11005,0.0,6.1,12.4,1021.4,0,0,0,0,0,0,1,2021,2,18
11006,0.0,1.6,13.0,1023.9,0,0,0,0,0,0,1,2021,2,19
11007,0.0,3.4,6.5,1027.1,0,0,0,0,0,0,1,2021,2,20
11008,0.0,4.7,12.2,1030.1,0,0,0,0,0,0,1,2021,2,21
11009,0.0,7.4,9.1,1029.5,0,0,0,0,0,0,1,2021,2,22
11010,0.0,7.6,7.6,1033.0,0,0,0,0,0,0,1,2021,2,23
11011,0.0,8.0,6.0,1036.9,0,0,0,0,0,0,1,2021,2,24
11012,0.0,9.1,6.8,1034.0,0,0,0,0,0,0,1,2021,2,25
11013,0.0,9.7,9.7,1027.3,0,0,0,0,0,0,1,2021,2,26
11014,1.0,7.2,11.4,1028.1,0,0,0,0,0,0,1,2021,2,27
11015,0.0,4.7,8.0,1034.0,0,0,0,0,0,0,1,2021,2,28
11016,0.0,4.4,13.6,1032.4,0,0,0,0,0,0,1,2021,3,1
